Year,Quarter,Month,Day,First HOME CURRENCY AMOUNT,TRANSACTION TYPE,month_number,Date
2019,Qtr 1,March,11,1481937.04,Invoice,3,2019/3/11
2019,Qtr 1,March,14,228422.24,Invoice,3,2019/3/14
2019,Qtr 1,March,18,310000,Receipt,3,2019/3/18
2019,Qtr 1,March,19,1275404,Invoice,3,2019/3/19
2019,Qtr 1,March,20,313049.16,Invoice,3,2019/3/20
2019,Qtr 1,March,22,338184.5,Invoice,3,2019/3/22
2019,Qtr 1,March,25,423229.81,Invoice,3,2019/3/25
2019,Qtr 1,March,26,484949.02,Invoice,3,2019/3/26
2019,Qtr 1,March,27,1071184.91,Receipt,3,2019/3/27
2019,Qtr 1,March,29,1511577.81,Invoice,3,2019/3/29
2019,Qtr 2,April,1,325949.34,Invoice,4,2019/4/1
2019,Qtr 2,April,2,717783.77,Invoice,4,2019/4/2
2019,Qtr 2,April,3,563687.87,Invoice,4,2019/4/3
2019,Qtr 2,April,4,250967.94,Receipt,4,2019/4/4
2019,Qtr 2,April,5,350669.92,Invoice,4,2019/4/5
2019,Qtr 2,April,8,811489.77,Invoice,4,2019/4/8
2019,Qtr 2,April,9,1970047.47,Invoice,4,2019/4/9
2019,Qtr 2,April,9,1253327.11,Receipt,4,2019/4/9
2019,Qtr 2,April,10,683481.27,Invoice,4,2019/4/10
2019,Qtr 2,April,11,1711313.56,Invoice,4,2019/4/11
2019,Qtr 2,April,12,1164497.59,Invoice,4,2019/4/12
2019,Qtr 2,April,12,93693.12,Receipt,4,2019/4/12
2019,Qtr 2,April,15,2341812.33,Invoice,4,2019/4/15
2019,Qtr 2,April,16,1481771.88,Invoice,4,2019/4/16
2019,Qtr 2,April,17,1125602.57,Invoice,4,2019/4/17
2019,Qtr 2,April,18,2502186.92,Invoice,4,2019/4/18
2019,Qtr 2,April,23,6254554.26,Invoice,4,2019/4/23
2019,Qtr 2,April,23,1717732.45,Receipt,4,2019/4/23
2019,Qtr 2,April,24,286830.18,Invoice,4,2019/4/24
2019,Qtr 2,April,25,275032.97,Invoice,4,2019/4/25
2019,Qtr 2,April,25,1434330.01,Receipt,4,2019/4/25
2019,Qtr 2,April,26,1497256.06,Invoice,4,2019/4/26
2019,Qtr 2,April,29,4777655.48,Invoice,4,2019/4/29
2019,Qtr 2,April,29,750720.35,Receipt,4,2019/4/29
2019,Qtr 2,April,30,4131779.53,Invoice,4,2019/4/30
2019,Qtr 2,May,2,2038358.25,Invoice,5,2019/5/2
2019,Qtr 2,May,3,2190104.4,Invoice,5,2019/5/3
2019,Qtr 2,May,3,247493.82,Receipt,5,2019/5/3
2019,Qtr 2,May,6,2485670.87,Invoice,5,2019/5/6
2019,Qtr 2,May,7,5706258.41,Invoice,5,2019/5/7
2019,Qtr 2,May,7,651933.52,Receipt,5,2019/5/7
2019,Qtr 2,May,8,549505.55,Invoice,5,2019/5/8
2019,Qtr 2,May,9,1261941.84,Invoice,5,2019/5/9
2019,Qtr 2,May,9,297229.97,Receipt,5,2019/5/9
2019,Qtr 2,May,10,3889959.57,Invoice,5,2019/5/10
2019,Qtr 2,May,13,5693486.95,Invoice,5,2019/5/13
2019,Qtr 2,May,13,174787.93,Receipt,5,2019/5/13
2019,Qtr 2,May,14,37700,Credit Note,5,2019/5/14
2019,Qtr 2,May,14,1362788.45,Invoice,5,2019/5/14
2019,Qtr 2,May,14,4545258.97,Receipt,5,2019/5/14
2019,Qtr 2,May,15,6772.59,Credit Note,5,2019/5/15
2019,Qtr 2,May,15,760172.5,Invoice,5,2019/5/15
2019,Qtr 2,May,15,737292.05,Receipt,5,2019/5/15
2019,Qtr 2,May,16,1840617.17,Invoice,5,2019/5/16
2019,Qtr 2,May,17,4322198.19,Invoice,5,2019/5/17
2019,Qtr 2,May,17,1468132.34,Receipt,5,2019/5/17
2019,Qtr 2,May,20,748.84,Credit Note,5,2019/5/20
2019,Qtr 2,May,20,3520501.39,Invoice,5,2019/5/20
2019,Qtr 2,May,20,703698.73,Receipt,5,2019/5/20
2019,Qtr 2,May,21,2527277.5,Invoice,5,2019/5/21
2019,Qtr 2,May,21,842835.21,Receipt,5,2019/5/21
2019,Qtr 2,May,22,68533.36,Credit Note,5,2019/5/22
2019,Qtr 2,May,22,2677853.05,Invoice,5,2019/5/22
2019,Qtr 2,May,22,841998.8,Receipt,5,2019/5/22
2019,Qtr 2,May,23,1529774.72,Invoice,5,2019/5/23
2019,Qtr 2,May,23,2618873.76,Receipt,5,2019/5/23
2019,Qtr 2,May,24,1923915.5,Invoice,5,2019/5/24
2019,Qtr 2,May,24,1221380.94,Receipt,5,2019/5/24
2019,Qtr 2,May,25,995308.15,Invoice,5,2019/5/25
2019,Qtr 2,May,27,10607152.91,Invoice,5,2019/5/27
2019,Qtr 2,May,27,159752.19,Receipt,5,2019/5/27
2019,Qtr 2,May,28,165530.94,Credit Note,5,2019/5/28
2019,Qtr 2,May,28,1971639.95,Invoice,5,2019/5/28
2019,Qtr 2,May,28,141367.2,Receipt,5,2019/5/28
2019,Qtr 2,May,29,4646923.23,Invoice,5,2019/5/29
2019,Qtr 2,May,29,3696890.65,Receipt,5,2019/5/29
2019,Qtr 2,May,30,208307.1,Credit Note,5,2019/5/30
2019,Qtr 2,May,30,4547484.1,Invoice,5,2019/5/30
2019,Qtr 2,May,30,1855307.54,Receipt,5,2019/5/30
2019,Qtr 2,May,31,53122.37,Credit Note,5,2019/5/31
2019,Qtr 2,May,31,6937032.32,Invoice,5,2019/5/31
2019,Qtr 2,May,31,6655847.87,Receipt,5,2019/5/31
2019,Qtr 2,June,2,450128.53,Invoice,6,2019/6/2
2019,Qtr 2,June,3,5500666.43,Invoice,6,2019/6/3
2019,Qtr 2,June,3,1248343.38,Receipt,6,2019/6/3
2019,Qtr 2,June,4,26091.82,Credit Note,6,2019/6/4
2019,Qtr 2,June,4,781705.89,Invoice,6,2019/6/4
2019,Qtr 2,June,4,1438425.88,Receipt,6,2019/6/4
2019,Qtr 2,June,5,3778963.31,Invoice,6,2019/6/5
2019,Qtr 2,June,5,854138.33,Receipt,6,2019/6/5
2019,Qtr 2,June,6,4710.97,Credit Note,6,2019/6/6
2019,Qtr 2,June,6,4059744.94,Invoice,6,2019/6/6
2019,Qtr 2,June,6,1740299.5,Receipt,6,2019/6/6
2019,Qtr 2,June,7,56008.18,Credit Note,6,2019/6/7
2019,Qtr 2,June,7,3026291.92,Invoice,6,2019/6/7
2019,Qtr 2,June,7,2963889.55,Receipt,6,2019/6/7
2019,Qtr 2,June,10,7897728.89,Invoice,6,2019/6/10
2019,Qtr 2,June,10,858657.58,Receipt,6,2019/6/10
2019,Qtr 2,June,11,29100.25,Credit Note,6,2019/6/11
2019,Qtr 2,June,11,2360489.47,Invoice,6,2019/6/11
2019,Qtr 2,June,11,2346916.72,Receipt,6,2019/6/11
2019,Qtr 2,June,12,172477.01,Invoice,6,2019/6/12
2019,Qtr 2,June,12,3437963.51,Receipt,6,2019/6/12
2019,Qtr 2,June,13,95379.22,Credit Note,6,2019/6/13
2019,Qtr 2,June,13,7430104.85,Invoice,6,2019/6/13
2019,Qtr 2,June,13,2931455.15,Receipt,6,2019/6/13
2019,Qtr 2,June,14,3031.7,Credit Note,6,2019/6/14
2019,Qtr 2,June,14,5628215.98,Invoice,6,2019/6/14
2019,Qtr 2,June,14,6231959.13,Receipt,6,2019/6/14
2019,Qtr 2,June,18,20488.89,Credit Note,6,2019/6/18
2019,Qtr 2,June,18,7217022.48,Invoice,6,2019/6/18
2019,Qtr 2,June,18,1984395.02,Receipt,6,2019/6/18
2019,Qtr 2,June,19,35984.95,Credit Note,6,2019/6/19
2019,Qtr 2,June,19,2815194.72,Invoice,6,2019/6/19
2019,Qtr 2,June,19,619705.04,Receipt,6,2019/6/19
2019,Qtr 2,June,20,8207195.95,Invoice,6,2019/6/20
2019,Qtr 2,June,20,2896887.98,Receipt,6,2019/6/20
2019,Qtr 2,June,21,6174363.12,Invoice,6,2019/6/21
2019,Qtr 2,June,21,5301203.34,Receipt,6,2019/6/21
2019,Qtr 2,June,24,13349740.37,Invoice,6,2019/6/24
