Date,dayofyear,dayofweek,quarter,month,year
2023/03/07,66,2,1,3,2023
2023/03/08,67,3,1,3,2023
2023/03/09,68,4,1,3,2023
2023/03/10,69,5,1,3,2023
2023/03/11,70,6,1,3,2023
2023/03/12,71,0,1,3,2023
2023/03/13,72,1,1,3,2023
2023/03/14,73,2,1,3,2023
2023/03/15,74,3,1,3,2023
2023/03/16,75,4,1,3,2023
2023/03/17,76,5,1,3,2023
2023/03/18,77,6,1,3,2023
2023/03/19,78,0,1,3,2023
2023/03/20,79,1,1,3,2023
2023/03/21,80,2,1,3,2023
2023/03/22,81,3,1,3,2023
2023/03/23,82,4,1,3,2023
2023/03/24,83,5,1,3,2023
2023/03/25,84,6,1,3,2023
2023/03/26,85,0,1,3,2023
2023/03/27,86,1,1,3,2023
2023/03/28,87,2,1,3,2023
2023/03/29,88,3,1,3,2023
2023/03/30,89,4,1,3,2023
2023/03/31,90,5,1,3,2023
2023/04/01,91,6,2,4,2023
2023/04/02,92,0,2,4,2023
2023/04/03,93,1,2,4,2023
2023/04/04,94,2,2,4,2023
2023/04/05,95,3,2,4,2023
2023/04/06,96,4,2,4,2023
2023/04/07,97,5,2,4,2023
2023/04/08,98,6,2,4,2023
2023/04/09,99,0,2,4,2023
2023/04/10,100,1,2,4,2023
2023/04/11,101,2,2,4,2023
2023/04/12,102,3,2,4,2023
2023/04/13,103,4,2,4,2023
2023/04/14,104,5,2,4,2023
2023/04/15,105,6,2,4,2023
2023/04/16,106,0,2,4,2023
2023/04/17,107,1,2,4,2023
2023/04/18,108,2,2,4,2023
2023/04/19,109,3,2,4,2023
2023/04/20,110,4,2,4,2023
2023/04/21,111,5,2,4,2023
2023/04/22,112,6,2,4,2023
2023/04/23,113,0,2,4,2023
2023/04/24,114,1,2,4,2023
2023/04/25,115,2,2,4,2023
2023/04/26,116,3,2,4,2023
2023/04/27,117,4,2,4,2023
2023/04/28,118,5,2,4,2023
2023/04/29,119,6,2,4,2023
2023/04/30,120,0,2,4,2023
2023/05/01,121,1,2,5,2023
2023/05/02,122,2,2,5,2023
2023/05/03,123,3,2,5,2023
2023/05/04,124,4,2,5,2023
2023/05/05,125,5,2,5,2023
2023/05/06,126,6,2,5,2023
2023/05/07,127,0,2,5,2023
2023/05/08,128,1,2,5,2023
2023/05/09,129,2,2,5,2023
2023/05/10,130,3,2,5,2023
2023/05/11,131,4,2,5,2023
2023/05/12,132,5,2,5,2023
2023/05/13,133,6,2,5,2023
2023/05/14,134,0,2,5,2023
2023/05/15,135,1,2,5,2023
2023/05/16,136,2,2,5,2023
2023/05/17,137,3,2,5,2023
2023/05/18,138,4,2,5,2023
2023/05/19,139,5,2,5,2023
2023/05/20,140,6,2,5,2023
2023/05/21,141,0,2,5,2023
2023/05/22,142,1,2,5,2023
2023/05/23,143,2,2,5,2023
