Date,dayofyear,dayofweek,quarter,month,year
2023/03/07,66,2,1,3,2023
2023/03/14,73,2,1,3,2023
2023/03/21,80,2,1,3,2023
2023/03/28,87,2,1,3,2023
2023/04/04,94,2,2,4,2023
2023/04/11,101,2,2,4,2023
2023/04/18,108,2,2,4,2023
2023/04/25,115,2,2,4,2023
2023/05/02,122,2,2,5,2023
2023/05/09,129,2,2,5,2023
2023/05/16,136,2,2,5,2023
2023/05/23,143,2,2,5,2023
2023/05/30,150,2,2,5,2023
2023/06/06,157,2,2,6,2023
2023/06/13,164,2,2,6,2023
2023/06/20,171,2,2,6,2023
2023/06/27,178,2,2,6,2023
2023/07/04,185,2,3,7,2023
2023/07/11,192,2,3,7,2023
2023/07/18,199,2,3,7,2023
2023/07/25,206,2,3,7,2023
2023/08/01,213,2,3,8,2023
2023/08/08,220,2,3,8,2023
2023/08/15,227,2,3,8,2023
2023/08/22,234,2,3,8,2023
2023/08/29,241,2,3,8,2023
2023/09/05,248,2,3,9,2023
2023/09/12,255,2,3,9,2023
2023/09/19,262,2,3,9,2023
2023/09/26,269,2,3,9,2023
2023/10/03,276,2,4,10,2023
2023/10/10,283,2,4,10,2023
2023/10/17,290,2,4,10,2023
2023/10/24,297,2,4,10,2023
2023/10/31,304,2,4,10,2023
2023/11/07,311,2,4,11,2023
2023/11/14,318,2,4,11,2023
2023/11/21,325,2,4,11,2023
2023/11/28,332,2,4,11,2023
2023/12/05,339,2,4,12,2023
2023/12/12,346,2,4,12,2023
2023/12/19,353,2,4,12,2023
2023/12/26,360,2,4,12,2023
2024/01/02,2,2,1,1,2024
2024/01/09,9,2,1,1,2024
2024/01/16,16,2,1,1,2024
2024/01/23,23,2,1,1,2024
2024/01/30,30,2,1,1,2024
2024/02/06,37,2,1,2,2024
2024/02/13,44,2,1,2,2024
2024/02/20,51,2,1,2,2024
2024/02/27,58,2,1,2,2024
2024/03/05,65,2,1,3,2024
2024/03/12,72,2,1,3,2024
2024/03/19,79,2,1,3,2024
2024/03/26,86,2,1,3,2024
2024/04/02,93,2,2,4,2024
2024/04/09,100,2,2,4,2024
2024/04/16,107,2,2,4,2024
2024/04/23,114,2,2,4,2024
2024/04/30,121,2,2,4,2024
2024/05/07,128,2,2,5,2024
2024/05/14,135,2,2,5,2024
2024/05/21,142,2,2,5,2024
2024/05/28,149,2,2,5,2024
2024/06/04,156,2,2,6,2024
2024/06/11,163,2,2,6,2024
2024/06/18,170,2,2,6,2024
2024/06/25,177,2,2,6,2024
